Country.name,Regional.indicator,Ladder.score,Social.support,Healthy.life.expectancy
Costa Rica,Latin America and Caribbean,7.069,0.891,71.4
Guatemala,Latin America and Caribbean,6.435,0.813,64.958
Uruguay,Latin America and Caribbean,6.431,0.925,69.1
Brazil,Latin America and Caribbean,6.33,0.882,66.601
Mexico,Latin America and Caribbean,6.317,0.831,68.597
Jamaica,Latin America and Caribbean,6.309,0.877,67.5
Panama,Latin America and Caribbean,6.18,0.896,69.652
Chile,Latin America and Caribbean,6.172,0.882,70
El Salvador,Latin America and Caribbean,6.061,0.762,66.402
Colombia,Latin America and Caribbean,6.012,0.847,68.001
Nicaragua,Latin America and Caribbean,5.972,0.864,67.657
Argentina,Latin America and Caribbean,5.929,0.898,69
Honduras,Latin America and Caribbean,5.919,0.812,67.3
Peru,Latin America and Caribbean,5.84,0.832,68.25
Ecuador,Latin America and Caribbean,5.764,0.821,68.8
Bolivia,Latin America and Caribbean,5.716,0.81,63.901
Paraguay,Latin America and Caribbean,5.653,0.893,65.9
Dominican Republic,Latin America and Caribbean,5.545,0.853,66.102
Venezuela,Latin America and Caribbean,4.892,0.861,66.7
Haiti,Latin America and Caribbean,3.615,0.54,55.7
